date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:08:55	38498/38498	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2007:19:10%20GMT	https://www.beautystatcosmetics.com/en/terms.html	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/terms.html	(from https://www.beautystatcosmetics.com/en/order.html)
17:08:56	32765/32765	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2007:19:10%20GMT	https://www.beautystatcosmetics.com/en/policy.html	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/policy.html	(from https://www.beautystatcosmetics.com/en/order.html)
17:08:57	47362/47362	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20Jun%202020%2007:19:13%20GMT	https://www.beautystatcosmetics.com/en/assets/js/pages/order.min.js?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/js/pages/order.min9349.js	(from https://www.beautystatcosmetics.com/en/order.html)
17:08:58	21477/21477	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jun%202020%2007:19:09%20GMT	https://www.beautystatcosmetics.com/en/affiliate.html	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/affiliate.html	(from https://www.beautystatcosmetics.com/en/order.html)
17:08:59	135048/135048	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/order-a.min.css?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/css/pages/order-a.min9349.css	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:08:59	15929/15929	---M--	200	added ('OK')	image/png	etag:%2275c649ab3f8fa49adc29ae5827e18f17%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_doctor.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_doctor.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:00	14564/14564	---M--	200	added ('OK')	image/png	etag:%2281e5018be89e62d0a742b39832fcdda9%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/list-logo.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/list-logo.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:01	939/939	---M--	200	added ('OK')	image/png	etag:%22d2537f34b882f7fc99fc7523093777a9%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/icon_pdf.png?language_id=1	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/icon_pdfeac5.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:02	27932/27932	---M--	200	added ('OK')	image/png	etag:%22c916d208f770ee2affc7912b070573cf%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_serein.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_serein.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:03	3682/3682	---M--	200	added ('OK')	image/png	etag:%223c05d48caa7f0ef0254790c29642bb2a%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/five_stars.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/five_stars.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:04	31108/31108	---M--	200	added ('OK')	image/png	etag:%2281b1a6e64b9503b8046584bf0d8a3de4%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_kathy.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_kathy.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:05	30911/30911	---M--	200	added ('OK')	image/png	etag:%22af0d56a7d1b2d6aea3a014fc52bc14c6%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_deanna.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_deanna.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:06	33672/33672	---M--	200	added ('OK')	image/png	etag:%2232ad86cb4bbc4d443146a6ff00993040%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_crystal.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_crystal.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:07	35950/35950	---M--	200	added ('OK')	image/png	etag:%229875e40202086eeaff97ed9db09f60e1%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_raven.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_raven.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:08	26872/26872	---M--	200	added ('OK')	image/png	etag:%222ff22cc4f0cafa7ba46e2e82533a1c8d%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_donna.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/img_donna.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:09	2924/2924	---M--	200	added ('OK')	image/png	etag:%227ddc57a5c8e13386f60a20d40b1fc00c%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/five_stars2.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/five_stars2.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:10	6618/6618	---M--	200	added ('OK')	image/png	etag:%22091d0aa5951ff875b7fcecb5fc2c3106%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/unit_2.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/unit_2.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:11	1636/1636	---M--	200	added ('OK')	image/png	etag:%220cb0747c9abebc2bfcf21aee559ea03b%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/free_shipping.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/free_shipping.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:12	10280/10280	---M--	200	added ('OK')	image/png	etag:%2237787fa94d440c7ec4085a0baaa7a81f%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/unit_3.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/unit_3.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:13	3370/3370	---M--	200	added ('OK')	image/png	etag:%22fb70ee541a4cc86ef2940419a20bc094%22	http://d16hdrba6dusey.cloudfront.net/sitecommon/images/newcheckout/credit_card.png	/Users/carolinenolasco/websites/Test%2013/d16hdrba6dusey.cloudfront.net/sitecommon/images/newcheckout/credit_card.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:14	3268/3268	---M--	200	added ('OK')	image/png	etag:%229fb4b773c312a1436e019f60281719af%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/product_upsell_mini.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/order-list/product_upsell_mini.png	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:16	873937/873937	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/js/pages/order-a.min.js?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/js/pages/order-a.min9349.js	(from https://www.beautystatcosmetics.com/en/order-a.html)
17:09:16	2710/2710	---M--	200	added ('OK')	application/octet-stream	etag:%220f471c9a3f1b51725de4d181267fcd90%22	https://d16hdrba6dusey.cloudfront.net/sitecommon/images/installment_icon.png	/Users/carolinenolasco/websites/Test%2013/d16hdrba6dusey.cloudfront.net/sitecommon/images/installment_icon.png	(from https://www.beautystatcosmetics.com/en/assets/css/pages/order.min.css?v=1592542299918)
17:09:17	33751/33751	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:11%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/index.min.css?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/css/pages/index.min9349.css	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:19	154140/154140	---M--	200	added ('OK')	image/png	etag:%2277df8c3746f34d6d5eea9129aa62e34d%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img1.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img1.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:21	159971/159971	---M--	200	added ('OK')	image/png	etag:%22f8b1c41bc2bc1059fb1d14cbadb27c7b%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img2.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img2.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:21	171837/171837	---M--	200	added ('OK')	image/png	etag:%229c4935094f3259c477b28f43e7e2d77a%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img3.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img3.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:22	127438/127438	---M--	200	added ('OK')	image/png	etag:%22eff07f7fd0297667af3de51aeaebc92a%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img4.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/section6_img4.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:22	68798/68798	---M--	200	added ('OK')	image/png	etag:%22d5ca804e71209a8a69ae1a771e834253%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial1.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial1.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:23	6798/6798	---M--	200	added ('OK')	image/png	etag:%22ec40f68de121adc9b7c6e63ab79862de%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star5.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star5.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:25	75403/75403	---M--	200	added ('OK')	image/png	etag:%22308a872ad216ee3852e79beaf5157613%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial2.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial2.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:26	86016/86016	---M--	200	added ('OK')	image/png	etag:%22fd0f900b4bccd48afd342977450484f6%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial3.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial3.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:27	93533/93533	---M--	200	added ('OK')	image/png	etag:%22479e5ad2fa0f09d39f3d3d03cbb96545%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial4.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial4.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:28	70093/70093	---M--	200	added ('OK')	image/png	etag:%229cdc6d5cabfc841e61d31e8156d33fe4%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial5.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial5.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:28	6887/6887	---M--	200	added ('OK')	image/png	etag:%22b6c7de0d1014c05d109cdad875c7c268%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star4.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/star4.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:30	71552/71552	---M--	200	added ('OK')	image/png	etag:%2259b7381f78fa296734fda196bd94b3e2%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial9.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial9.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:31	86625/86625	---M--	200	added ('OK')	image/png	etag:%226bc217171c6a5295ef5664a70241c4fb%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial10.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial10.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:32	66957/66957	---M--	200	added ('OK')	image/png	etag:%22dfe2892ca42ace73e520d072127d7cb8%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial12.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial12.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:34	136844/136844	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/js/pages/index.min.js?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/js/pages/index.min9349.js	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:34	490597/490597	---M--	200	added ('OK')	image/png	etag:%222644f460a99be27bba0b416846670ce2%22	https://www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial11.png	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/pub-assets/fileuploads/images/index/img_testimonial11.png	(from https://www.beautystatcosmetics.com/en/index.html)
17:09:34	5027/5027	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:11%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/contact-us.min.css?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/css/pages/contact-us.min9349.css	(from https://www.beautystatcosmetics.com/en/contact-us.html)
17:09:35	4828/4828	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/terms.min.css?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/css/pages/terms.min9349.css	(from https://www.beautystatcosmetics.com/en/terms.html)
17:09:36	4834/4834	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/policy.min.css?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/css/pages/policy.min9349.css	(from https://www.beautystatcosmetics.com/en/policy.html)
17:09:37	6339/6339	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20Jun%202020%2007:19:11%20GMT	https://www.beautystatcosmetics.com/en/assets/css/pages/affiliate.min.css?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/css/pages/affiliate.min9349.css	(from https://www.beautystatcosmetics.com/en/affiliate.html)
17:09:38	1789/1789	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20Jun%202020%2007:19:12%20GMT	https://www.beautystatcosmetics.com/en/assets/js/pages/affiliate.min.js?v=1592542299918	/Users/carolinenolasco/websites/Test%2013/www.beautystatcosmetics.com/en/assets/js/pages/affiliate.min9349.js	(from https://www.beautystatcosmetics.com/en/affiliate.html)
